RatingID,XPK_COUNTERPARTY,FAIR_AnnualTurnover,RDF_TotalTurnover,Turnover_Match_Status,FAIR_TotalAssets,RDF_TotalAssets,Assets_Match_Status,Overall_Match_Status,RDF_Source_System
2732187.0,2732187,230267227.237277,2.30267227237277E8,MATCH,5635213754.89678,5.63521375489678E9,MATCH,FULL_MATCH,FAIR
2732989.0,2732989,27785000,2.7785E7,MATCH,30235000,3.0235E7,MATCH,FULL_MATCH,FAIR
2735116.0,2735116,59732046.65761,5.973204665761E7,MATCH,284601114.91076,2.8460111491076E8,MATCH,FULL_MATCH,FAIR
2735232.0,2735232,48065000,4.8065E7,MATCH,31470000,3.147E7,MATCH,FULL_MATCH,FAIR
2735550.0,2735550,3213000,3213000.0,MATCH,20398000,2.0398E7,MATCH,FULL_MATCH,FAIR
2736064.0,2736064,185042000,1.85042E8,MATCH,87835000,8.7835E7,MATCH,FULL_MATCH,FAIR
2736065.0,2736065,185042000,1.85042E8,MATCH,87835000,8.7835E7,MATCH,FULL_MATCH,FAIR
2736298.0,2736298,688181000,6.88181E8,MATCH,864501000,8.64501E8,MATCH,FULL_MATCH,FAIR
2736526.0,2736526,84525000,8.4525E7,MATCH,398544000,3.98544E8,MATCH,FULL_MATCH,FAIR
2736535.0,2736535,206183000,2.06183E8,MATCH,1862205000,1.862205E9,MATCH,FULL_MATCH,FAIR
2737186.0,2737186,34093783.6698365,3.40937836698365E7,MATCH,294320513.42109,2.9432051342109E8,MATCH,FULL_MATCH,FAIR
2737191.0,2737191,25134000,2.5134E7,MATCH,34691000,3.4691E7,MATCH,FULL_MATCH,FAIR
2737291.0,2737291,18900000,1.89E7,MATCH,693000000,6.93E8,MATCH,FULL_MATCH,FAIR
2737643.0,2737643,3912000,3912000.0,MATCH,13711000,1.3711E7,MATCH,FULL_MATCH,FAIR
2737913.0,2737913,1002497000,1.002497E9,MATCH,886748000,8.86748E8,MATCH,FULL_MATCH,FAIR
2737926.0,2737926,10510000,1.051E7,MATCH,176599000,1.76599E8,MATCH,FULL_MATCH,FAIR
2737950.0,2737950,7713000,7713000.0,MATCH,5872000,5872000.0,MATCH,FULL_MATCH,FAIR
2738115.0,2738115,283420000,2.8342E8,MATCH,306454000,3.06454E8,MATCH,FULL_MATCH,FAIR
2738182.0,2738182,92732000,9.2732E7,MATCH,45602000,4.5602E7,MATCH,FULL_MATCH,FAIR
2738291.0,2738291,11851000,1.1851E7,MATCH,5102000,5102000.0,MATCH,FULL_MATCH,FAIR
2738298.0,2738298,11834366.1971831,1.18343661971831E7,MATCH,4253521.12676056,4253521.12676056,MATCH,FULL_MATCH,FAIR
2738533.0,2738533,51719000,5.1719E7,MATCH,22868000,2.2868E7,MATCH,FULL_MATCH,FAIR
2738655.0,2738655,10618000,1.0618E7,MATCH,11537000,1.1537E7,MATCH,FULL_MATCH,FAIR
2738660.0,2738660,83869745.747376,8.3869745747376E7,MATCH,432634425.443359,4.32634425443359E8,MATCH,FULL_MATCH,FAIR
2738664.0,2738664,83869745.747376,8.3869745747376E7,MATCH,432634425.443359,4.32634425443359E8,MATCH,FULL_MATCH,FAIR
2738665.0,2738665,83869745.747376,8.3869745747376E7,MATCH,432634425.443359,4.32634425443359E8,MATCH,FULL_MATCH,FAIR
2738666.0,2738666,83869745.747376,8.3869745747376E7,MATCH,432634425.443359,4.32634425443359E8,MATCH,FULL_MATCH,FAIR
2738813.0,2738813,9400000,9400000.0,MATCH,23039000,2.3039E7,MATCH,FULL_MATCH,FAIR
2738996.0,2738996,119319000,1.19319E8,MATCH,177286000,1.77286E8,MATCH,FULL_MATCH,FAIR
2739145.0,2739145,4510000,4510000.0,MATCH,12408000,1.2408E7,MATCH,FULL_MATCH,FAIR
2739410.0,2739410,882866000,8.82866E8,MATCH,977425000,9.77425E8,MATCH,FULL_MATCH,FAIR
2739437.0,2739437,4362000,4362000.0,MATCH,10374000,1.0374E7,MATCH,FULL_MATCH,FAIR
2739443.0,2739443,2352919000,2.352919E9,MATCH,490171000,4.90171E8,MATCH,FULL_MATCH,FAIR
2739510.0,2739510,744075000,7.44075E8,MATCH,676027000,6.76027E8,MATCH,FULL_MATCH,FAIR
2739605.0,2739605,37546000,3.7546E7,MATCH,29730000,2.973E7,MATCH,FULL_MATCH,FAIR
2739701.0,2739701,2430000,2430000.0,MATCH,1298000,1298000.0,MATCH,FULL_MATCH,FAIR
2739874.0,2739874,24827000,2.4827E7,MATCH,11375000,1.1375E7,MATCH,FULL_MATCH,FAIR
2740370.0,2740370,92732000,9.2732E7,MATCH,45602000,4.5602E7,MATCH,FULL_MATCH,FAIR
2740371.0,2740371,92732000,9.2732E7,MATCH,45602000,4.5602E7,MATCH,FULL_MATCH,FAIR
2740434.0,2740434,648000,648000.0,MATCH,4722000,4722000.0,MATCH,FULL_MATCH,FAIR
2740447.0,2740447,9065000,9065000.0,MATCH,4244000,4244000.0,MATCH,FULL_MATCH,FAIR
2740522.0,2740522,63158000,6.3158E7,MATCH,143699000,1.43699E8,MATCH,FULL_MATCH,FAIR
2740623.0,2740623,16999000,1.6999E7,MATCH,4213000,4213000.0,MATCH,FULL_MATCH,FAIR
2740964.0,2740964,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740965.0,2740965,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740966.0,2740966,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740967.0,2740967,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740968.0,2740968,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740969.0,2740969,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740971.0,2740971,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740972.0,2740972,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740973.0,2740973,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740974.0,2740974,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740975.0,2740975,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740976.0,2740976,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740977.0,2740977,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740978.0,2740978,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740979.0,2740979,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740980.0,2740980,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740981.0,2740981,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740982.0,2740982,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740983.0,2740983,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740984.0,2740984,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740986.0,2740986,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740987.0,2740987,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740988.0,2740988,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740989.0,2740989,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740990.0,2740990,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740991.0,2740991,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740992.0,2740992,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740993.0,2740993,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740994.0,2740994,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740996.0,2740996,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740997.0,2740997,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740998.0,2740998,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2740999.0,2740999,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2741000.0,2741000,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2741001.0,2741001,927184000,9.27184E8,MATCH,1540942000,1.540942E9,MATCH,FULL_MATCH,FAIR
2741022.0,2741022,0,0.0,MATCH,0,0.0,MATCH,FULL_MATCH,FAIR
2741060.0,2741060,374000,374000.0,MATCH,4209000,4209000.0,MATCH,FULL_MATCH,FAIR
2741149.0,2741149,9396000,9396000.0,MATCH,6422000,6422000.0,MATCH,FULL_MATCH,FAIR
2741377.0,2741377,95565000000,9.5565E10,MATCH,210941000000,2.10941E11,MATCH,FULL_MATCH,FAIR
2741420.0,2741420,239906310.020143,2.39906310020143E8,MATCH,385974610.015459,3.85974610015459E8,MATCH,FULL_MATCH,FAIR
2741423.0,2741423,0,0.0,MATCH,0,0.0,MATCH,FULL_MATCH,FAIR
2741424.0,2741424,239906310.020143,2.39906310020143E8,MATCH,385974610.015459,3.85974610015459E8,MATCH,FULL_MATCH,FAIR
2741425.0,2741425,239906310.020143,2.39906310020143E8,MATCH,385974610.015459,3.85974610015459E8,MATCH,FULL_MATCH,FAIR
2741744.0,2741744,15504000,1.5504E7,MATCH,9976000,9976000.0,MATCH,FULL_MATCH,FAIR
2741871.0,2741871,2258000,2258000.0,MATCH,1852000,1852000.0,MATCH,FULL_MATCH,FAIR
2741940.0,2741940,12564000,1.2564E7,MATCH,8769000,8769000.0,MATCH,FULL_MATCH,FAIR
2741956.0,2741956,15329000,1.5329E7,MATCH,3473000,3473000.0,MATCH,FULL_MATCH,FAIR
2742073.0,2742073,25624000,2.5624E7,MATCH,5217000,5217000.0,MATCH,FULL_MATCH,FAIR
2742075.0,2742075,1309000,1309000.0,MATCH,1120000,1120000.0,MATCH,FULL_MATCH,FAIR
2742089.0,2742089,1165000,1165000.0,MATCH,2372000,2372000.0,MATCH,FULL_MATCH,FAIR
2742367.0,2742367,249342000,2.49342E8,MATCH,961261000,9.61261E8,MATCH,FULL_MATCH,FAIR
2742408.0,2742408,249342000,2.49342E8,MATCH,961261000,9.61261E8,MATCH,FULL_MATCH,FAIR
2742409.0,2742409,249342000,2.49342E8,MATCH,961261000,9.61261E8,MATCH,FULL_MATCH,FAIR
2742410.0,2742410,249342000,2.49342E8,MATCH,961261000,9.61261E8,MATCH,FULL_MATCH,FAIR
2742411.0,2742411,249342000,2.49342E8,MATCH,961261000,9.61261E8,MATCH,FULL_MATCH,FAIR
2742414.0,2742414,249342000,2.49342E8,MATCH,961261000,9.61261E8,MATCH,FULL_MATCH,FAIR
2742416.0,2742416,249342000,2.49342E8,MATCH,961261000,9.61261E8,MATCH,FULL_MATCH,FAIR
2742423.0,2742423,249342000,2.49342E8,MATCH,961261000,9.61261E8,MATCH,FULL_MATCH,FAIR
2742424.0,2742424,249342000,2.49342E8,MATCH,961261000,9.61261E8,MATCH,FULL_MATCH,FAIR
2742427.0,2742427,249342000,2.49342E8,MATCH,961261000,9.61261E8,MATCH,FULL_MATCH,FAIR
2742476.0,2742476,2569000,2569000.0,MATCH,2398000,2398000.0,MATCH,FULL_MATCH,FAIR
2742497.0,2742497,13204000,1.3204E7,MATCH,580009000,5.80009E8,MATCH,FULL_MATCH,FAIR
2742862.0,2742862,26673537.2651895,2.66735372651895E7,MATCH,134919192.392374,1.34919192392374E8,MATCH,FULL_MATCH,FAIR
2742886.0,2742886,36590621.6330163,3.65906216330163E7,MATCH,173458565.606408,1.73458565606408E8,MATCH,FULL_MATCH,FAIR
2742928.0,2742928,11768960509.6735,1.17689605096735E10,MATCH,10891741228.2756,1.08917412282756E10,MATCH,FULL_MATCH,FAIR
2742946.0,2742946,83093000,8.3093E7,MATCH,35693000,3.5693E7,MATCH,FULL_MATCH,FAIR
2742947.0,2742947,83093000,8.3093E7,MATCH,35693000,3.5693E7,MATCH,FULL_MATCH,FAIR
2742965.0,2742965,399165000,3.99165E8,MATCH,13603681000,1.3603681E10,MATCH,FULL_MATCH,FAIR
2742974.0,2742974,16202308000,1.6202308E10,MATCH,56696674000,5.6696674E10,MATCH,FULL_MATCH,FAIR
2743026.0,2743026,26673537.2651895,2.66735372651895E7,MATCH,134919192.392374,1.34919192392374E8,MATCH,FULL_MATCH,FAIR
2743029.0,2743029,26673537.2651895,2.66735372651895E7,MATCH,134919192.392374,1.34919192392374E8,MATCH,FULL_MATCH,FAIR
2743036.0,2743036,26673537.2651895,2.66735372651895E7,MATCH,134919192.392374,1.34919192392374E8,MATCH,FULL_MATCH,FAIR
2743043.0,2743043,26673537.2651895,2.66735372651895E7,MATCH,134919192.392374,1.34919192392374E8,MATCH,FULL_MATCH,FAIR
2743044.0,2743044,26673537.2651895,2.66735372651895E7,MATCH,134919192.392374,1.34919192392374E8,MATCH,FULL_MATCH,FAIR
2743186.0,2743186,3242051000,3.242051E9,MATCH,8830793000,8.830793E9,MATCH,FULL_MATCH,FAIR
