RatingID,ParentRatingID,LBRatingID,AnnualTurnover,AnnualTurnoverDirect,AnnualTurnoverParent,AnnualTurnoverLBR,TotalAssets,TotalAssetsDirect,TotalAssetsParent,TotalAssetsLBR
2884012,2884012,null,336764879.89587,336764879.89587,336764879.89587,null,1391254289.4332,1391254289.4332,1391254289.4332,null
2931843,2931843,null,3283773000,3283773000,3283773000,null,1360283000,1360283000,1360283000,null
2881354,2881354,null,1222000,1222000,1222000,null,3357000,3357000,3357000,null
2802866,2802866,null,2375000,2375000,2375000,null,26462000,26462000,26462000,null
2894890,2894890,null,55208000,55208000,55208000,null,36900000,36900000,36900000,null
2899332,2899332,null,225789000,225789000,225789000,null,116228000,116228000,116228000,null
2741940,2741940,null,14551000,14551000,14551000,null,8769000,8769000,8769000,null
2919439,2919439,null,7548000,7548000,7548000,null,6063000,6063000,6063000,null
2889005,2889005,null,1480000,1480000,1480000,null,7325000,7325000,7325000,null
2826113,2826113,null,3591000,3591000,3591000,null,122030000,122030000,122030000,null
2788899,2788899,null,8788000,8788000,8788000,null,6360000,6360000,6360000,null
2850611,2850611,null,146226000,146226000,146226000,null,132088000,132088000,132088000,null
2856494,2856494,null,37656000,37656000,37656000,null,14072000,14072000,14072000,null
2861762,2861762,null,3211000,3211000,3211000,null,7614000,7614000,7614000,null
2887925,2887925,null,29781000,29781000,29781000,null,7401000,7401000,7401000,null
2899852,2899852,null,4411000,4411000,4411000,null,3882000,3882000,3882000,null
2889382,2889382,null,79539000,79539000,79539000,null,249308000,249308000,249308000,null
2944824,2944824,null,34095000,34095000,34095000,null,8540000,8540000,8540000,null
2821391,2821391,null,119453000,119453000,119453000,null,40990000,40990000,40990000,null
2956042,2956042,null,32780000,32780000,32780000,null,9923000,9923000,9923000,null
2959778,2959778,null,253369000,253369000,253369000,null,217171000,217171000,217171000,null
2959929,2959929,null,2001000,2001000,2001000,null,50752000,50752000,50752000,null
2880061,2880061,null,63349000,63349000,63349000,null,6655000,6655000,6655000,null
2942090,2942090,null,4371000,4371000,4371000,null,7035000,7035000,7035000,null
2874178,2874178,null,66816000,66816000,66816000,null,47312000,47312000,47312000,null
2886667,2886667,null,null,null,null,null,32646954986.7608,32646954986.7608,32646954986.7608,null
2886852,2886852,null,187933617.609773,187933617.609773,187933617.609773,null,58974299.8732281,58974299.8732281,58974299.8732281,null
2889602,2889602,null,20104000,20104000,20104000,null,15731000,15731000,15731000,null
2878004,2878004,null,158931000,158931000,158931000,null,1060980000,1060980000,1060980000,null
2952055,2952055,null,9995000,9995000,9995000,null,24818000,24818000,24818000,null
2738115,2738115,null,283420000,283420000,283420000,null,306454000,306454000,306454000,null
2925323,2925323,null,1824549.31679871,1824549.31679871,1824549.31679871,null,265242.852221839,265242.852221839,265242.852221839,null
2892285,2892285,null,76774000,76774000,76774000,null,17255000,17255000,17255000,null
2819617,2819617,null,62013000,62013000,62013000,null,15530000,15530000,15530000,null
2940435,2940435,null,29219000,29219000,29219000,null,426000,426000,426000,null
2760545,2760545,null,2148000,2148000,2148000,null,4325000,4325000,4325000,null
2796137,2796137,null,9883000,9883000,9883000,null,5757000,5757000,5757000,null
2900293,2900293,null,76955000,76955000,76955000,null,63545000,63545000,63545000,null
2916635,2916635,null,35536000,35536000,35536000,null,20328000,20328000,20328000,null
2944668,2944668,null,2441000,2441000,2441000,null,4303000,4303000,4303000,null
2928746,2928746,null,24285000,24285000,24285000,null,11471000,11471000,11471000,null
2917128,2917128,null,26059000,26059000,26059000,null,5520000,5520000,5520000,null
2852083,2852083,null,0,0,0,null,0,0,0,null
2936187,2936187,null,9500000,9500000,9500000,null,7665000,7665000,7665000,null
2923333,2923333,null,44517000,44517000,44517000,null,221420000,221420000,221420000,null
2904701,2904701,null,5235000,5235000,5235000,null,3616000,3616000,3616000,null
2905149,2905149,null,2348000,2348000,2348000,null,2441000,2441000,2441000,null
2901916,2901916,null,11935000,11935000,11935000,null,6289000,6289000,6289000,null
2870392,2870392,null,1098000,1098000,1098000,null,17947000,17947000,17947000,null
2869255,2869255,null,9451000,9451000,9451000,null,2727109000,2727109000,2727109000,null
2886653,2886653,null,5095000,5095000,5095000,null,8067000,8067000,8067000,null
2806477,2806477,null,23668000,23668000,23668000,null,160170000,160170000,160170000,null
2874653,2874653,null,32260047.5555298,32260047.5555298,32260047.5555298,null,5852809.83587543,5852809.83587543,5852809.83587543,null
2886295,2886295,null,8498000,8498000,8498000,null,9257000,9257000,9257000,null
2787266,2787266,null,3863000,3863000,3863000,null,3156000,3156000,3156000,null
2935047,2935047,null,6198000,6198000,6198000,null,15311995000,15311995000,15311995000,null
2855047,2855047,null,134555000,134555000,134555000,null,146059000,146059000,146059000,null
2876715,2876715,null,82453766.3509247,82453766.3509247,82453766.3509247,null,246276362.798202,246276362.798202,246276362.798202,null
2802613,2802613,null,1750000,1750000,1750000,null,4651000,4651000,4651000,null
2906783,2906783,null,30000000,30000000,30000000,null,7858000,7858000,7858000,null
2930147,2930147,null,584327564.094983,584327564.094983,584327564.094983,null,863563000,863563000,863563000,null
2934190,2934190,null,6419000,6419000,6419000,null,70816000,70816000,70816000,null
2951849,2951849,null,44629000,44629000,44629000,null,15572000,15572000,15572000,null
2778459,2778459,null,835000,835000,835000,null,1923000,1923000,1923000,null
2955266,2955266,null,118877000,118877000,118877000,null,3158344000,3158344000,3158344000,null
2769474,2769474,null,21767000,21767000,21767000,null,7550000,7550000,7550000,null
2797673,2797673,null,null,null,null,null,73170000,73170000,73170000,null
2841239,2841239,null,58992000,58992000,58992000,null,268429000,268429000,268429000,null
2937939,2937939,null,1193000,1193000,1193000,null,5437000,5437000,5437000,null
2809044,2809044,null,644000,644000,644000,null,3004000,3004000,3004000,null
2928384,2928384,null,31296000,31296000,31296000,null,16275000,16275000,16275000,null
2948845,2948845,null,82328000,82328000,82328000,null,21188000,21188000,21188000,null
2955039,2955039,null,909000,909000,909000,null,8871000,8871000,8871000,null
2952825,2952825,null,2819000,2819000,2819000,null,1981000,1981000,1981000,null
2892576,2892576,null,42067000,42067000,42067000,null,23531000,23531000,23531000,null
