RATING_ID,PROCESS_ID,ITERATION_NUMBER,CALCULATION_ID,MODEL_COMPONENT_ID,CALCULATION_PERIOD_ID,MODEL_COMPONENT_ESSENTIAL_TYPE_CODE,MODEL_COMPONENT_ESSENTIAL_GROUP_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_NAME,MODEL_COMPONENT_ESSENTIAL_VALUE,MODEL_COMPONENT_ESSENTIAL_VALUE_TYPE,MODEL_COMPONENT_ESSENTIAL_VALUE_CURRENCY
1140750,624352,1,230905,766415,834426,Turnover,34,fin,cons,Consolidated,202000,decimal,null
1152804,635827,1,236432,789498,831284,CorrectedTotalAssets,34,fin,cons,Consolidated,1162000,decimal,null
2584845,2016586,1,1064574,4558023,3215765,Turnover,34,fin,cons,Consolidated,6280000,decimal,null
1160184,642841,1,239689,802834,869081,CorrectedTotalAssets,34,fin,cons,Consolidated,4810000,decimal,null
2569892,2002109,1,1057154,4519656,3205367,TotalAssets,34,fin,cons,Consolidated,6031000,decimal,null
2516270,1950576,1,1031482,4387935,3131488,CorrectedTotalAssets,34,fin,cons,Consolidated,85269000,decimal,null
1051373,540700,1,170611,536737,690244,TotalAssets,34,fin,cons,Consolidated,2136000,decimal,null
2534605,1967934,1,1039837,4429882,3153163,CorrectedTotalAssets,34,fin,cons,Consolidated,12426000,decimal,null
2522820,1956820,1,1034512,4402415,3141595,TotalAssets,34,fin,cons,Consolidated,1158000,decimal,null
2552402,1985166,1,1048601,4475208,3182034,TotalAssets,34,fin,cons,Consolidated,6499000,decimal,null
2575124,2007124,1,1059782,4532889,3203033,Turnover,34,fin,cons,Consolidated,13242000,decimal,null
2566284,1998608,1,1055423,4510311,3195580,TotalAssets,53,fin,cons,Consolidated,441123000000,decimal,null
1174172,655913,1,246268,829450,951783,TotalAssets,34,fin,cons,Consolidated,915000,decimal,null
2631698,2061534,1,1088413,4681281,3285517,Turnover,34,fin,cons,Consolidated,14172000,decimal,null
1059084,548122,1,176381,559344,691486,CorrectedTotalAssets,34,fin,cons,Consolidated,2.6869E7,decimal,null
2502047,1936790,1,1024591,4351194,3144032,TotalAssets,51,fin,cons,Consolidated,869360000,decimal,null
1186649,667883,1,252296,853687,953799,CorrectedTotalAssets,34,fin,cons,Consolidated,2444000,decimal,null
1200815,681376,1,259177,881503,945418,TotalAssets,34,fin,cons,Consolidated,2242000,decimal,null
1198992,679826,1,258304,878397,942588,TotalAssets,34,fin,cons,Consolidated,381000,decimal,null
2567732,2000002,1,1056143,4514319,3193735,TotalAssets,34,fin,cons,Consolidated,100016000,decimal,null
1039264,529084,1,162110,1561448,1536659,TotalAssets,6,fin,cons,Consolidated,1876601515.15152,decimal,null
1127107,611161,1,225501,744273,803350,Turnover,34,fin,cons,Consolidated,805000,decimal,null
1092546,578820,1,201373,647164,791525,TotalAssets,28,fin,cons,Consolidated,1434259213250.52,decimal,null
1054263,543536,1,172782,544731,542385,TotalAssets,34,fin,cons,Consolidated,6923000,decimal,null
1047290,536897,1,167863,526390,524381,Turnover,34,fin,cons,Consolidated,100406000,decimal,null
2612129,2042490,1,1078381,4629050,3256876,TotalAssets,34,fin,cons,Consolidated,18988000,decimal,null
1082561,569865,1,194580,619755,777496,TotalAssets,51,fin,cons,Consolidated,881682000,decimal,null
2572381,2004508,1,1058362,4526044,3200282,TotalAssets,34,fin,cons,Consolidated,113938000,decimal,null
1164070,646396,1,241520,810013,860033,Turnover,34,fin,cons,Consolidated,61557000,decimal,null
2545603,1978568,1,1045147,4457192,3166392,TotalAssets,34,fin,cons,Consolidated,5589000,decimal,null
1121539,605817,1,221532,727561,827928,TotalAssets,34,fin,cons,Consolidated,29657000,decimal,null
1081974,569344,1,194191,618530,3610717,TotalAssets,28,fin,cons,Consolidated,110152075626.798,decimal,null
1080444,567921,1,193081,614481,694522,TotalAssets,34,fin,cons,Consolidated,10754000,decimal,null
1074871,562898,1,188735,599771,588541,TotalAssets,34,fin,cons,Consolidated,28867000,decimal,null
2670594,2098983,1,1107779,4821544,3344475,Turnover,34,fin,cons,Consolidated,15473000,decimal,null
1085038,572025,1,196286,625369,695175,TotalAssets,34,fin,cons,Consolidated,6773000,decimal,null
2672216,2100563,1,1108592,4825691,3374743,CorrectedTotalAssets,34,fin,cons,Consolidated,630119000,decimal,null
1049132,538688,1,169173,531168,504622,TotalAssets,34,fin,cons,Consolidated,69093000,decimal,null
1175490,657182,1,246937,832161,1023360,TotalAssets,34,fin,cons,Consolidated,2273000,decimal,null
1093829,579988,1,202226,650585,695944,Turnover,34,fin,cons,Consolidated,654000,decimal,null
1150028,633134,1,235177,784081,895931,TotalAssets,34,fin,cons,Consolidated,8632000,decimal,null
1062261,551284,1,178942,568493,542427,TotalAssets,34,fin,cons,Consolidated,27941000,decimal,null
1180275,661793,1,249174,841640,925141,Turnover,34,fin,cons,Consolidated,1753000,decimal,null
1081012,568451,1,193456,615819,694590,Turnover,34,fin,cons,Consolidated,2442000,decimal,null
1202249,682720,1,259849,884057,952659,TotalAssets,34,fin,cons,Consolidated,3990000,decimal,null
1136568,620351,1,229182,759323,856394,TotalAssets,51,fin,cons,Consolidated,326695000,decimal,null
2545119,1978087,1,1044893,4455850,3177187,CorrectedTotalAssets,34,fin,cons,Consolidated,7355000,decimal,null
1159422,642160,1,239354,801483,914468,TotalAssets,34,fin,cons,Consolidated,11128000,decimal,null
2534129,1967462,1,1039580,4428551,3173455,Turnover,34,fin,cons,Consolidated,52274000,decimal,null
2643075,2072561,1,1094116,4711443,3298186,Turnover,34,fin,cons,Consolidated,8695000,decimal,null
1043685,533443,1,165284,515848,689069,Turnover,34,fin,cons,Consolidated,28110000,decimal,null
1207803,688083,1,262678,895759,964223,CorrectedTotalAssets,34,fin,cons,Consolidated,9403000,decimal,null
1105424,590769,1,210225,682249,707575,Turnover,34,fin,cons,Consolidated,3177000,decimal,null
1043524,533282,1,165159,515330,689028,CorrectedTotalAssets,34,fin,cons,Consolidated,4119000.0,decimal,null
2505066,1939698,1,1026067,4359625,3143477,TotalAssets,34,fin,cons,Consolidated,629292987.811672,decimal,null
1036649,526581,1,160185,496916,504887,TotalAssets,34,fin,cons,Consolidated,12742000,decimal,null
1147394,630577,1,233886,778714,863655,Turnover,34,fin,cons,Consolidated,119756545.237627,decimal,null
1078130,565834,1,191247,608381,627457,TotalAssets,28,fin,cons,Consolidated,69285035346.0972,decimal,null
2642101,2071652,1,1093640,4709206,3300556,CorrectedTotalAssets,34,fin,cons,Consolidated,15199000,decimal,null
1130347,614333,2,241071,808272,877625,TotalAssets,34,fin,cons,Consolidated,2358000,decimal,null
1214832,694839,1,265993,909695,967448,Turnover,34,fin,cons,Consolidated,12267000,decimal,null
1087225,573925,1,197779,630563,706751,Revenues,6,fin,cons,Consolidated,22033000,decimal,null
2642101,2071652,1,1093640,4709206,3300555,CorrectedTotalAssets,34,fin,cons,Consolidated,17645000,decimal,null
2605388,2036054,1,1074990,4611290,3241681,CorrectedTotalAssets,34,fin,cons,Consolidated,25877000,decimal,null
1148124,631259,1,234324,780312,890330,TotalAssets,34,fin,cons,Consolidated,9141000,decimal,null
1129600,613597,1,226494,748402,842283,TotalAssets,34,fin,cons,Consolidated,1414000,decimal,null
1157086,639975,1,238358,797420,878988,CorrectedTotalAssets,34,fin,cons,Consolidated,52473000,decimal,null
1208929,689169,1,263197,897776,1175188,TotalAssets,34,fin,cons,Consolidated,356000,decimal,null
1132232,616173,1,227478,752458,786200,Revenues,6,fin,cons,Consolidated,1427000,decimal,null
1152291,635319,1,236200,788501,869407,TotalAssets,34,fin,cons,Consolidated,3331000,decimal,null
2566575,1998884,1,1055584,4511204,3202885,Turnover,34,fin,cons,Consolidated,54569000,decimal,null
1201188,681742,1,259332,882183,953745,Turnover,34,fin,cons,Consolidated,1983000,decimal,null
2634714,2064449,1,1089929,4689702,3354761,TotalAssets,34,fin,cons,Consolidated,4823910.31284851,decimal,null
1143248,626547,1,231985,770557,839914,TotalAssets,34,fin,cons,Consolidated,38817000,decimal,null
1126340,610429,1,224991,742098,853787,TotalAssets,34,fin,cons,Consolidated,3235000,decimal,null
1161970,644499,1,240546,806241,849566,Revenues,6,fin,cons,Consolidated,2195964697.36622,decimal,null
1094447,580566,1,202715,652469,639724,TotalAssets,51,fin,cons,Consolidated,93389000,decimal,null
1125995,610110,1,224773,741216,777477,TotalAssets,34,fin,cons,Consolidated,953000,decimal,null
1077853,565579,1,191050,607628,778079,Turnover,34,fin,cons,Consolidated,28055000,decimal,null
2608563,2039071,1,1076499,4619203,3246836,TotalAssets,34,fin,cons,Consolidated,398000,decimal,null
2587795,2019395,1,1066040,4566095,3229720,TotalOperatingIncome,28,fin,cons,Consolidated,4696737529.51338,decimal,null
2535657,1968968,1,1040333,4432371,3174687,CorrectedTotalAssets,34,fin,cons,Consolidated,958800248.316699,decimal,null
2663794,2092607,1,1104604,4805538,3343728,TotalAssets,34,fin,cons,Consolidated,6282000,decimal,null
1117496,602187,1,218808,716880,744559,Turnover,34,fin,cons,Consolidated,6499000,decimal,null
1057015,546116,1,174875,553067,691109,TotalAssets,34,fin,cons,Consolidated,1726000,decimal,null
2618977,2049179,1,1081844,4647134,3277199,CorrectedTotalAssets,34,fin,cons,Consolidated,20059000,decimal,null
1086191,573073,1,197135,628204,695329,TotalAssets,34,fin,cons,Consolidated,2941000,decimal,null
1104049,589443,1,209268,677927,696507,Turnover,34,fin,cons,Consolidated,147000,decimal,null
1177497,659135,1,247957,836401,894643,CorrectedTotalAssets,34,fin,cons,Consolidated,1389000,decimal,null
