RatingID,UCR_LB_RATING_ID,Expected_Assets,Expected_Turnover,LBR_LB_RATING_ID,LBR_Assets_Calculated,LBR_Turnover_Calculated
2853256,666100_100843,67460489230.8,5239143649.92,666100_100843,67460489230.799995,5239143649.92
2836723,666100_100854,435829475000.0,4816934000.00,666100_100854,435829475000,4816934000
2853787,666100_100868,3694636854.0,131239978.00,666100_100868,3694636854,131239978
