DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionId,ExemptionId,ExemptionName,ExemptionType,DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionIdRC,ExemptionIdRC,ExemptionNameRC,ExemptionTypeRC
MAINBANK,2025-05-31,528078,CF/2008307298_AV_REPO,AAB.SYS.12036,BCA2008307298,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1200,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,528078,CF/2008307298_AV_REPO,AAB.SYS.12036,BCA2008307298,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1200,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,528078,CF/2016423730_AV_REPO,AAB.SYS.12036,BCA2016423730,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1226,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,528078,CF/2016423730_AV_REPO,AAB.SYS.12036,BCA2016423730,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1226,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,528078,CF/205822649_AV_REPO,AAB.SYS.12036,BCA205822649,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1200,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,528078,CF/205822649_AV_REPO,AAB.SYS.12036,BCA205822649,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1200,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,528078,CF/205824641_AV_REPO,AAB.SYS.12036,BCA205824641,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1200,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,528078,CF/205824641_AV_REPO,AAB.SYS.12036,BCA205824641,AAB.SYS.1861,102,NPL,null,null,PFSIWW05,PFSIWW05,null,LNOMO401,FIRB,1200,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,524749,CF/2061700241_AS_SBL,AAB.SYS.12036,BCA2061700241,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,524749,CF/2061700241_AS_SBL,AAB.SYS.12036,BCA2061700241,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,524749,CF/207399476_AS_REPO,AAB.SYS.12036,BCA207399476,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1145,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,524749,CF/207399476_AS_REPO,AAB.SYS.12036,BCA207399476,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1145,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,524749,CF/208191097_AS_REPO,AAB.SYS.12036,BCA208191097,AAB.SYS.1861,102,NPL,null,null,PIBKWW08,PIBKWW08,null,LNOMO401,FIRB,1160,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,524749,CF/208191097_AS_REPO,AAB.SYS.12036,BCA208191097,AAB.SYS.1861,102,NPL,null,null,PIBKWW08,PIBKWW08,null,LNOMO401,FIRB,1160,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/23201,AAB.SYS.1861,BCA195576837,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/23201,AAB.SYS.1861,BCA195576837,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/23240,AAB.SYS.1861,BCA195493427,AAB.SYS.1861,102,NPL,null,null,PINLWW05,PINLWW05,null,LNOMO401,FIRB,1374,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/23240,AAB.SYS.1861,BCA195493427,AAB.SYS.1861,102,NPL,null,null,PINLWW05,PINLWW05,null,LNOMO401,FIRB,1374,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/3460,AAB.SYS.1861,BCA159338646,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/3460,AAB.SYS.1861,BCA159338646,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
