EXMPTN_CNDTN_ID,EXMPTN_ID,SRCE_SSTM_CMPNNT_ID,PD_RTNG_MDL,RPRTNG_ENTTY_CD,BSL_II_PRDCT_TYP_CD,RPRTNG_CRTSS_ACCNT_CD,BSL_II_CNTRPRTY_TYP_CD,RTL_CRDT_EXPSR_PRTFL_CD,CSTMR_MRKT_SGMNT_ID,LGD_RTNG_MDL,LGL_ENTTY,EX_FBN_FLG,INTRCMPNY_FLG,CNTRPRTY_ID,DL_SRC_SSTM_CMPNNT_CD,EFFCTV_STATUS,EFFCTV_STRT_DT,EFFCTV_END_DT,BSL_APPRCH,EC_MDL_INPT_INDCTR,EC_PRXD_INDCTR,GLBL_CNTRPRTY_IDNTFR,MIN_TURNOVER,SOURCED_EXEMPTION_ID,PL_NPL_INDICATOR,SPECIALISED_LENDING_TYPE
1425,Article_151_8_ECFOU,null,PFSPWW05,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1426,Article_151_8_ECFOU,null,PINLWW05,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1427,Article_151_8_ECFOU,null,PINNWW05,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1428,Article_151_8_ECFOU,null,PINCWW05,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1429,Article_151_8_ECFOU,null,PICOWW01,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
143,Ex_Non_Material,null,null,809693,null,null,null,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,STD,N,Y,null,null,null,null,*
1430,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IB_PD_INST,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1431,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IB_PD_LARGE,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1432,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IB_PD_UNREG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1433,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IFEU,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1434,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IFEU_LARGE,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1435,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IFEU_UNREG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1436,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IFNEU,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1437,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IFNEU_LARGE,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1438,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IFNEU_UNREG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1439,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,MDB_B_LARGE,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
144,Ex_Non_Material,null,null,609710,null,null,null,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,STD,N,Y,null,null,null,null,*
1440,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,MDB_B_UNREG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1441,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,CI,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1442,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,CI_LARGE,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1443,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,CI_UNREG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1444,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,CIU_NONREG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1445,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,CIU_REG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1446,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,EXCHANGE,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1447,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,FI_UNREG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1448,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IF,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1449,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IF_LARGE,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
145,Ex_Non_Material,null,null,609797,null,null,null,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,STD,N,Y,null,null,null,null,*
1450,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IF_REG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1451,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,IF_UNREG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1452,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,MDB_BANK,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1453,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,NQCCP,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1454,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,PF_NONREG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1455,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,PF_REG,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1456,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,QCCP,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1457,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,ASS,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1458,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,ASS_LARGE,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1459,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,OTH_CORP,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
146,Ex_Non_Material,null,null,690133,null,null,null,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,STD,N,Y,null,null,null,null,*
1460,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,AAB_BRANCH,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1461,Article_151_8_ECFOU,null,PCFPWW04,null,null,null,AAB_SUBSID,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
